Type;Available;Registered;CI;PCI;TAC;ASU;CQI;RSRP;RSRQ;RSSI;RSSNR;TA;Bandwith;NCI;MCC;MNC;ARFCN;CSI_RSRP;CSI_RSRQ;CSI_SINR;CSI_RSRP_dbm;SS_RSRP;SS_RSRQ;SS_SINR;LEVEL;Longitude;Latitude;Altitude;Time;Accuracy;timestamp;protocol;direction;filesize;senderTime;senderPackets;senderLostPackets;senderBytes;senderThroughput;receiverTime;receiverPackets;receiverLostPackets;receiverBytes;receiverThroughput;rawThroughput;senderPacketloss;revceiverPacketloss;receiverJitter;receiverOutOfOrder;senderRetransmits;tcp_max_cwnd_0;tcp_max_rtt_0;tcp_min_rtt_0;tcp_mean_rtt_0;bits_per_second_0;minPing;avgPing;maxPing;meanDevPing;packetLoss;successfull
NR;LTE, NR;LTE, NR;0;not available;0;39;0;-101;-8;-51;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4693872;51.517085;133.84089231704698;1607602492753;4.545;1607602493438;TCP;upload;3145728;0.643174;-1;-1;3302880;4.108225767832655E7;1.007072;-1;-1;2499312;1.9854087890438817E7;-1.0;0.0;0.0;-1.0;-1;0;1466824;253850;39995;143857;4.108225767832655E7;65.028;196.04;544.19;201.8;0.0;true
NR;LTE, NR;LTE, NR;0;not available;0;38;0;-102;-5;-55;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4693872;51.517085;133.77345031522444;1607602473999;4.466;1607602506904;TCP;upload;8388608;2.239468;-1;-1;8461980;3.0228536420256954E7;2.599628;-1;-1;7371658;2.2685270354066044E7;-1.0;0.0;0.0;-1.0;-1;1;4355584;702902;41022;450463;3.0228536420256954E7;133.12;411.57;687.474;228.708;0.0;true
NR;LTE, NR;LTE, NR;0;not available;0;38;0;-102;-3;-57;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4677831;51.5174522;134.56955809789451;1607602486999;3.633;1607602520080;TCP;download;2097152;1.53965;-1;-1;2564964;1.3327517292891242E7;1.507898;-1;-1;2098152;1.1131532769457882E7;-1.0;0.0;0.0;-1.0;-1;0;118736;30702;30594;30648;1.3327517292891242E7;31.252;67.753;134.963;41.951;0.0;true
LTE;LTE;LTE;0;not available;0;38;0;-102;-3;-57;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4654525;51.5178705;135.25338142612546;1607602499999;3.6;1607602533213;UDP;upload;3145728;0.544099;2173;0;3146504;5782962.291788811;-1.0;-1;-1;-1;-1.0;4.626369833431049E7;0.0;-1.0;-1.0;-1;-1;29.889;235.59;835.582;346.45;0.0;true
NR;LTE, NR;LTE, NR;0;71;0;52;0;-88;-8;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4638472;51.5176989;135.15017413025222;1607602514999;3.95;1607602548476;UDP;download;4194304;0.399206;114722;3291;166117456;4.0418252230677897E8;1.248402;114722;3291;-1;1.0645125912967137E9;1.0645125912967137E9;2.868673837624867;2.0;0.009027373048765906;0;-1;39.036;39.036;39.036;0.0;75.0;true
LTE;LTE;LTE;0;71;0;52;0;-88;-8;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4609554;51.517029;134.57912945840397;1607602530999;3.516;1607602563630;TCP;download;7340032;4.360056;-1;-1;8650056;1.587145853172528E7;4.315612;-1;-1;7344256;1.3614302675958822E7;-1.0;0.0;0.0;-1.0;-1;0;383720;83128;40406;60240;1.587145853172528E7;50.015;55.153;66.716;6.725;0.0;true
LTE;LTE;LTE;0;71;0;52;0;-88;-8;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4582361;51.5166426;134.16756000177315;1607602544999;3.9;1607602578202;UDP;download;104858;2.47E-4;46812;0;67783776;2.7442824291497977E11;0.524552;46812;0;-1;1.0337777913343196E9;1.0337777913343196E9;0.0;0.0;0.014977977887229807;0;-1;53.104;53.104;53.104;0.0;75.0;true
LTE;LTE;LTE;0;71;0;52;0;-88;-8;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4569935;51.5164499;135.81059959847192;1607602557999;3.983;1607602591308;TCP;upload;8388608;2.183906;-1;-1;8757862;3.208146138157961E7;2.320797;-1;-1;7855312;2.7077980538582217E7;-1.0;0.0;0.0;-1.0;-1;0;2613640;343965;44506;251974;3.208146138157961E7;28.39;180.23;357.691;146.973;0.0;true
LTE;LTE;LTE;0;489;0;42;0;-98;-10;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4569268;51.5164285;135.46446329170666;1607602571999;5.632;1607602605234;UDP;download;2097152;0.294533;66808;2552;96737984;3.1589902659464306E8;0.929734;66808;2552;-1;8.323927833122163E8;8.323927833122163E8;3.8199018081666867;3.0;0.13306916723537224;0;-1;31.607;1262.002;2615.492;984.507;0.0;true
NR;LTE, NR;LTE, NR;0;489;0;45;0;-95;-6;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4552048;51.5141915;142.43606357189282;1607602610999;3.966;1607602643771;UDP;download;104858;26.569267;3787705;0;1189629544;4.477464673752573E7;26.821689;3787705;0;-1;1.6358691922794273E9;1.6358691922794273E9;0.0;0.0;0.01094535645383906;0;-1;79.517;79.517;79.517;0.0;75.0;true
